cluster_alias,number_of_cells,label
0,34,CS202210140_494
1,220,CS202210140_495
2,187,CS202210140_496
3,246,CS202210140_497
4,188,CS202210140_498
5,79,CS202210140_499
6,66,CS202210140_500
7,220,CS202210140_501
8,87,CS202210140_502
9,6351,CS202210140_503
10,11013,CS202210140_504
11,54161,CS202210140_505
12,14487,CS202210140_506
13,17377,CS202210140_507
14,25922,CS202210140_508
15,1132,CS202210140_509
16,1353,CS202210140_510
17,728,CS202210140_511
18,1007,CS202210140_512
19,839,CS202210140_513
20,1465,CS202210140_514
21,42,CS202210140_515
22,421,CS202210140_516
23,195,CS202210140_517
24,112,CS202210140_518
25,133,CS202210140_519
26,95,CS202210140_520
27,342,CS202210140_521
28,214,CS202210140_522
29,354,CS202210140_523
30,37,CS202210140_524
31,126,CS202210140_525
32,40,CS202210140_526
33,97,CS202210140_527
34,87,CS202210140_528
35,47,CS202210140_529
36,78,CS202210140_530
37,90,CS202210140_531
38,135,CS202210140_532
39,90,CS202210140_533
40,15,CS202210140_534
41,312,CS202210140_535
42,883,CS202210140_536
43,3770,CS202210140_537
44,122,CS202210140_538
45,577,CS202210140_539
46,200,CS202210140_540
47,577,CS202210140_541
48,67,CS202210140_542
49,52,CS202210140_543
50,88,CS202210140_544
51,66,CS202210140_545
52,91,CS202210140_546
53,30,CS202210140_547
54,80,CS202210140_548
55,1825,CS202210140_549
56,313,CS202210140_550
57,56,CS202210140_551
58,50,CS202210140_552
59,44,CS202210140_553
60,66,CS202210140_554
61,80,CS202210140_555
62,748,CS202210140_556
63,176,CS202210140_557
64,525,CS202210140_558
65,400,CS202210140_559
66,331,CS202210140_560
67,444,CS202210140_561
68,579,CS202210140_562
69,907,CS202210140_563
70,772,CS202210140_564
71,538,CS202210140_565
72,1081,CS202210140_566
73,484,CS202210140_567
74,794,CS202210140_568
75,32,CS202210140_569
76,509,CS202210140_570
77,509,CS202210140_571
78,1187,CS202210140_572
79,360,CS202210140_573
80,1235,CS202210140_574
81,2225,CS202210140_575
82,800,CS202210140_576
83,714,CS202210140_577
84,504,CS202210140_578
85,2616,CS202210140_579
86,814,CS202210140_580
87,445,CS202210140_581
88,3509,CS202210140_582
89,141,CS202210140_583
90,2215,CS202210140_584
91,1288,CS202210140_585
92,575,CS202210140_586
93,96,CS202210140_587
94,1577,CS202210140_588
95,656,CS202210140_589
96,476,CS202210140_590
97,1329,CS202210140_591
98,196,CS202210140_592
99,7424,CS202210140_593
100,209,CS202210140_594
101,20,CS202210140_595
102,944,CS202210140_596
103,283,CS202210140_597
104,627,CS202210140_598
105,1282,CS202210140_599
106,677,CS202210140_600
107,1190,CS202210140_601
