label,name,cluster_annotation_term_set_label,parent_term_label,parent_term_set_label,term_set_order,term_order,cluster_annotation_term_set_name,color_hex_triplet,number_of_cells,description
CS202210140_476,Upper-layer intratelencephalic,CCN202210140_SUPC,,,0,0,supercluster,#FEA7BA,455006,Upper-layer intratelencephalic
CS202210140_477,Deep-layer intratelencephalic,CCN202210140_SUPC,,,0,1,supercluster,#426600,228467,Deep-layer intratelencephalic
CS202210140_473,Deep-layer near-projecting,CCN202210140_SUPC,,,0,2,supercluster,#EE1010,18856,Deep-layer near-projecting
CS202210140_474,Deep-layer corticothalamic and 6b,CCN202210140_SUPC,,,0,3,supercluster,#5EF0F1,78396,Deep-layer corticothalamic and 6b
CS202210140_484,MGE interneuron,CCN202210140_SUPC,,,0,4,supercluster,#DFFE66,222434,MGE interneuron
CS202210140_486,CGE interneuron,CCN202210140_SUPC,,,0,5,supercluster,#983F00,227671,CGE interneuron
CS202210140_485,LAMP5-LHX6 and Chandelier,CCN202210140_SUPC,,,0,6,supercluster,#00988E,45118,LAMP5-LHX6 and Chandelier
CS202210140_463,Miscellaneous,CCN202210140_SUPC,,,0,7,supercluster,#FEFE00,25071,Miscellaneous
CS202210140_475,Hippocampal CA1-3,CCN202210140_SUPC,,,0,8,supercluster,#9CCB00,74979,Hippocampal CA1-3
CS202210140_479,Hippocampal CA4,CCN202210140_SUPC,,,0,9,supercluster,#C10087,10654,Hippocampal CA4
CS202210140_480,Hippocampal dentate gyrus,CCN202210140_SUPC,,,0,10,supercluster,#003380,67533,Hippocampal dentate gyrus
CS202210140_478,Amygdala excitatory,CCN202210140_SUPC,,,0,11,supercluster,#808080,109452,Amygdala excitatory
CS202210140_481,Medium spiny neuron,CCN202210140_SUPC,,,0,12,supercluster,#740AFE,152189,Medium spiny neuron
CS202210140_482,Eccentric medium spiny neuron,CCN202210140_SUPC,,,0,13,supercluster,#2BCD48,40144,Eccentric medium spiny neuron
CS202210140_483,Splatter,CCN202210140_SUPC,,,0,14,supercluster,#93FEB4,291833,Splatter
CS202210140_490,Mammillary body,CCN202210140_SUPC,,,0,15,supercluster,#980000,16602,Mammillary body
CS202210140_491,Thalamic excitatory,CCN202210140_SUPC,,,0,16,supercluster,#CC9F80,85546,Thalamic excitatory
CS202210140_492,Midbrain-derived inhibitory,CCN202210140_SUPC,,,0,17,supercluster,#FEFE80,126782,Midbrain-derived inhibitory
CS202210140_487,Upper rhombic lip,CCN202210140_SUPC,,,0,18,supercluster,#80BAED,137162,Upper rhombic lip
CS202210140_488,Cerebellar inhibitory,CCN202210140_SUPC,,,0,19,supercluster,#4C005C,14411,Cerebellar inhibitory
CS202210140_489,Lower rhombic lip,CCN202210140_SUPC,,,0,20,supercluster,#8E7C00,52650,Lower rhombic lip
CS202210140_469,Oligodendrocyte,CCN202210140_SUPC,,,0,21,supercluster,#9CBA19,490246,Oligodendrocyte
CS202210140_468,Committed oligodendrocyte precursor,CCN202210140_SUPC,,,0,22,supercluster,#7CAA09,4720,Committed oligodendrocyte precursor
CS202210140_467,Oligodendrocyte precursor,CCN202210140_SUPC,,,0,23,supercluster,#0098D4,105734,Oligodendrocyte precursor
CS202210140_470,Astrocyte,CCN202210140_SUPC,,,0,24,supercluster,#AB3BC4,155025,Astrocyte
CS202210140_471,Ependymal,CCN202210140_SUPC,,,0,25,supercluster,#ED5F8E,5882,Ependymal
CS202210140_464,Microglia,CCN202210140_SUPC,,,0,26,supercluster,#FEA305,91838,Microglia
CS202210140_465,Vascular,CCN202210140_SUPC,,,0,27,supercluster,#E12E12,9932,Vascular
CS202210140_493,Bergmann glia,CCN202210140_SUPC,,,0,28,supercluster,#E7C31F,8041,Bergmann glia
CS202210140_466,Fibroblast,CCN202210140_SUPC,,,0,29,supercluster,#C48351,9156,Fibroblast
CS202210140_472,Choroid plexus,CCN202210140_SUPC,,,0,30,supercluster,#005C31,7689,Choroid plexus
CS202210140_1,Bcell_0,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,0,cluster,#A0DB13,105,B cells (cluster 0)
CS202210140_2,Tcell_1,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,1,cluster,#F0F44D,2474,T cells (cluster 1)
CS202210140_3,Nkcell_2,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,2,cluster,#E2EE30,671,NK cells (cluster 2)
CS202210140_4,Mono_3,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,3,cluster,#CDB808,503,Monocyte (mesoderm) (cluster 3)
CS202210140_5,Mgl_4,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,0,cluster,#E68D3B,745,Microglia (cluster 4)
CS202210140_6,Mgl_5,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,1,cluster,#FA9120,777,Microglia (cluster 5)
CS202210140_7,Mgl_6,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,2,cluster,#ECC308,2485,Microglia (cluster 6)
CS202210140_8,Mgl_7,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,3,cluster,#F4D115,34829,Microglia (cluster 7)
CS202210140_9,Mgl_8,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,4,cluster,#F3DA20,7750,Microglia (cluster 8)
CS202210140_10,Mgl_9,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,5,cluster,#EEC833,5165,Microglia (cluster 9)
CS202210140_11,Mgl_10,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,6,cluster,#E79F40,16707,Microglia (cluster 10)
CS202210140_12,Mgl_11,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,7,cluster,#E0D011,20036,Microglia (cluster 11)
CS202210140_13,Mgl_12,CCN202210140_CLUS,CS202210140_464,CCN202210140_SUPC,1,8,cluster,#DB9539,3344,Microglia (cluster 12)
CS202210140_14,VendPLVAP_13,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,0,cluster,#D34D1F,73,PLVAP expressing endothelial cell (cluster 13)
