Cluster ID	Cluster name	Transferred MTG Label
153	Amex_153	N/A
154	Amex_154	N/A
155	Amex_155	N/A
156	Amex_156	N/A
157	Amex_157	N/A
158	Amex_158	N/A
159	Amex_159	N/A
160	Amex_160	N/A
161	Amex_161	N/A
162	Amex_162	N/A
171	Amex_171	N/A
172	Amex_172	N/A
173	Amex_173	N/A
174	Amex_174	N/A
175	Amex_175	L2/3 IT
405	Amex_405	N/A
406	Amex_406	N/A
407	Amex_407	N/A
408	Amex_408	N/A
419	Amex_419	N/A
52	Astro_52	Astro
53	Astro_53	Astro
54	Astro_54	Astro
55	Astro_55	Astro
56	Astro_56	Astro
57	Astro_57	Astro
58	Astro_58	Astro
59	Astro_59	Astro
60	Astro_60	Astro
61	Astro_61	Astro
62	Astro_62	Astro
63	Astro_63	Astro
64	Astro_64	Astro
51	Bgl_51	N/A
298	CBI_298	N/A
299	CBI_299	N/A
300	CBI_300	N/A
301	CBI_301	N/A
302	CBI_302	N/A
303	CBI_303	N/A
304	CBI_304	N/A
305	CBI_305	N/A
306	CBI_306	N/A
307	CBI_307	N/A
276	CGE_276	N/A
277	CGE_277	N/A
278	CGE_278	Pax6
279	CGE_279	N/A
280	CGE_280	N/A
281	CGE_281	N/A
282	CGE_282	Sncg
283	CGE_283	Sncg
284	CGE_284	Vip
285	CGE_285	Vip
286	CGE_286	Lamp5
287	CGE_287	Lamp5
288	CGE_288	Lamp5
289	CGE_289	Vip
290	CGE_290	Vip
291	CGE_291	Vip
292	CGE_292	Vip
293	CGE_293	Vip
294	CGE_294	Vip
295	CGE_295	Vip
296	CGE_296	Vip
76	Chrp_76	N/A
77	Chrp_77	N/A
78	Chrp_78	N/A
79	Chrp_79	N/A
80	Chrp_80	N/A
81	Chrp_81	N/A
82	Chrp_82	N/A
37	COP_37	OPC
38	COP_38	OPC
39	COP_39	N/A
41	COP_41	N/A
42	COP_42	N/A
43	COP_43	N/A
75	COP_75	N/A
84	DLCT6b_84	N/A
97	DLCT6b_97	N/A
98	DLCT6b_98	L6b
99	DLCT6b_99	L6b
100	DLCT6b_100	N/A
101	DLCT6b_101	L6b
102	DLCT6b_102	L6b
103	DLCT6b_103	L6b
104	DLCT6b_104	N/A
105	DLCT6b_105	L6b
106	DLCT6b_106	L6b
107	DLCT6b_107	N/A
108	DLCT6b_108	N/A
109	DLCT6b_109	L6 CT
110	DLCT6b_110	L6 CT
111	DLCT6b_111	N/A
112	DLCT6b_112	N/A
136	DLIT_136	N/A
137	DLIT_137	L5 IT
139	DLIT_139	L5 IT
140	DLIT_140	N/A
141	DLIT_141	L4 IT
142	DLIT_142	L5 IT
143	DLIT_143	L5 IT
144	DLIT_144	L5 IT
145	DLIT_145	N/A
146	DLIT_146	N/A
147	DLIT_147	N/A
148	DLIT_148	L6 IT
149	DLIT_149	L6 IT
150	DLIT_150	L6 IT Car3
151	DLIT_151	L6 IT Car3
152	DLIT_152	L6 IT Car3
83	DLNP_83	N/A
85	DLNP_85	N/A
86	DLNP_86	L5/6 NP
87	DLNP_87	L5/6 NP
88	DLNP_88	L5/6 NP
89	DLNP_89	L5/6 NP
90	DLNP_90	L5/6 NP
91	DLNP_91	L5/6 NP
92	DLNP_92	L5/6 NP
93	DLNP_93	L5/6 NP
94	DLNP_94	L5/6 NP
95	DLNP_95	L5/6 NP
96	DLNP_96	L5/6 NP
222	EMSN_222	N/A
223	EMSN_223	N/A
224	EMSN_224	N/A
225	EMSN_225	N/A
226	EMSN_226	N/A
227	EMSN_227	N/A
228	EMSN_228	N/A
229	EMSN_229	N/A
230	EMSN_230	N/A
231	EMSN_231	N/A
232	EMSN_232	N/A
233	EMSN_233	N/A
234	EMSN_234	N/A
426	EMSN_426	N/A
65	Epen_65	N/A
66	Epen_66	N/A
67	Epen_67	N/A
68	Epen_68	N/A
69	Epen_69	N/A
70	Epen_70	N/A
71	Epen_71	N/A
72	Epen_72	N/A
73	Epen_73	N/A
74	Epen_74	N/A
24	Fbl_24	N/A
25	Fbl_25	VLMC
26	Fbl_26	VLMC
27	Fbl_27	VLMC
28	Fbl_28	VLMC
29	Fbl_29	N/A
30	Fbl_30	N/A
31	Fbl_31	N/A
115	L5ET_115	N/A
119	CA13_119	N/A
163	CA13_163	N/A
169	CA13_169	N/A
179	CA13_179	N/A
180	CA13_180	N/A
181	CA13_181	N/A
182	CA13_182	N/A
183	CA13_183	N/A
184	CA13_184	N/A
185	CA13_185	N/A
186	CA13_186	N/A
187	CA13_187	N/A
188	CA13_188	N/A
189	CA13_189	N/A
190	CA4_190	N/A
191	CA4_191	N/A
192	CA4_192	N/A
193	CA4_193	N/A
194	CA4_194	N/A
195	CA4_195	N/A
196	CA4_196	N/A
197	CA4_197	N/A
198	CA4_198	N/A
199	DG_199	N/A
200	DG_200	N/A
201	DG_201	N/A
202	DG_202	N/A
203	DG_203	N/A
204	DG_204	N/A
205	DG_205	N/A
264	LLC_264	Chandelier
265	LLC_265	Chandelier
266	LLC_266	N/A
267	LLC_267	N/A
268	LLC_268	Lamp5 Lhx6
269	LLC_269	N/A
270	LLC_270	Lamp5 Lhx6
271	LLC_271	Lamp5 Lhx6
272	LLC_272	Lamp5 Lhx6
273	LLC_273	Lamp5 Lhx6
274	LLC_274	Lamp5 Lhx6
275	LLC_275	Lamp5 Lhx6
315	LRL_315	N/A
316	LRL_316	N/A
317	LRL_317	N/A
318	LRL_318	N/A
319	LRL_319	N/A
320	LRL_320	N/A
321	LRL_321	N/A
322	LRL_322	N/A
323	Mmb_323	N/A
324	Mmb_324	N/A
325	Mmb_325	N/A
326	Mmb_326	N/A
327	Mmb_327	N/A
328	Mmb_328	N/A
329	Mmb_329	N/A
330	Mmb_330	N/A
331	Mmb_331	N/A
332	Mmb_332	N/A
333	Mmb_333	N/A
206	MSN_206	N/A
207	MSN_207	N/A
208	MSN_208	N/A
209	MSN_209	N/A
210	MSN_210	N/A
211	MSN_211	N/A
212	MSN_212	N/A
213	MSN_213	N/A
214	MSN_214	N/A
215	MSN_215	N/A
216	MSN_216	N/A
217	MSN_217	N/A
218	MSN_218	N/A
219	MSN_219	N/A
220	MSN_220	N/A
221	MSN_221	N/A
427	MSN_427	N/A
430	MSN_430	N/A
236	MGE_236	Pvalb
239	MGE_239	N/A
240	MGE_240	Pvalb
241	MGE_241	Sst
242	MGE_242	Sst
243	MGE_243	Sst
244	MGE_244	N/A
245	MGE_245	N/A
246	MGE_246	N/A
