labelset,cell_label,cell_set_accession,parent_cell_set_accession,Cluster ID,Supercluster,Class auto-annotation,Neurotransmitter auto-annotation,Neuropeptide auto-annotation,Subtype auto-annotation,Transferred MTG Label,Top three regions,Top three dissections,Top Enriched Genes,Number of cells,DoubletFinder score,Total UMI,Fraction unspliced,Fraction mitochondrial,H19.30.002,H19.30.001,H18.30.002,H18.30.001,Fraction cells from top donor,Number of donors
supercluster,Upper-layer intratelencephalic,CS202210140_476,,,,,,,,,,,,,,,,,,,,,,
supercluster,Deep-layer intratelencephalic,CS202210140_477,,,,,,,,,,,,,,,,,,,,,,
supercluster,Deep-layer near-projecting,CS202210140_473,,,,,,,,,,,,,,,,,,,,,,
supercluster,Deep-layer corticothalamic and 6b,CS202210140_474,,,,,,,,,,,,,,,,,,,,,,
supercluster,MGE interneuron,CS202210140_484,,,,,,,,,,,,,,,,,,,,,,
supercluster,CGE interneuron,CS202210140_486,,,,,,,,,,,,,,,,,,,,,,
supercluster,LAMP5-LHX6 and Chandelier,CS202210140_485,,,,,,,,,,,,,,,,,,,,,,
supercluster,Miscellaneous,CS202210140_463,,,,,,,,,,,,,,,,,,,,,,
supercluster,Hippocampal CA1-3,CS202210140_475,,,,,,,,,,,,,,,,,,,,,,
supercluster,Hippocampal CA4,CS202210140_479,,,,,,,,,,,,,,,,,,,,,,
supercluster,Hippocampal dentate gyrus,CS202210140_480,,,,,,,,,,,,,,,,,,,,,,
supercluster,Amygdala excitatory,CS202210140_478,,,,,,,,,,,,,,,,,,,,,,
supercluster,Medium spiny neuron,CS202210140_481,,,,,,,,,,,,,,,,,,,,,,
supercluster,Eccentric medium spiny neuron,CS202210140_482,,,,,,,,,,,,,,,,,,,,,,
supercluster,Splatter,CS202210140_483,,,,,,,,,,,,,,,,,,,,,,
supercluster,Mammillary body,CS202210140_490,,,,,,,,,,,,,,,,,,,,,,
supercluster,Thalamic excitatory,CS202210140_491,,,,,,,,,,,,,,,,,,,,,,
supercluster,Midbrain-derived inhibitory,CS202210140_492,,,,,,,,,,,,,,,,,,,,,,
supercluster,Upper rhombic lip,CS202210140_487,,,,,,,,,,,,,,,,,,,,,,
supercluster,Cerebellar inhibitory,CS202210140_488,,,,,,,,,,,,,,,,,,,,,,
supercluster,Lower rhombic lip,CS202210140_489,,,,,,,,,,,,,,,,,,,,,,
supercluster,Oligodendrocyte,CS202210140_469,,,,,,,,,,,,,,,,,,,,,,
supercluster,Committed oligodendrocyte precursor,CS202210140_468,,,,,,,,,,,,,,,,,,,,,,
supercluster,Oligodendrocyte precursor,CS202210140_467,,,,,,,,,,,,,,,,,,,,,,
supercluster,Astrocyte,CS202210140_470,,,,,,,,,,,,,,,,,,,,,,
supercluster,Ependymal,CS202210140_471,,,,,,,,,,,,,,,,,,,,,,
supercluster,Microglia,CS202210140_464,,,,,,,,,,,,,,,,,,,,,,
supercluster,Vascular,CS202210140_465,,,,,,,,,,,,,,,,,,,,,,
supercluster,Bergmann glia,CS202210140_493,,,,,,,,,,,,,,,,,,,,,,
supercluster,Fibroblast,CS202210140_466,,,,,,,,,,,,,,,,,,,,,,
supercluster,Choroid plexus,CS202210140_472,,,,,,,,,,,,,,,,,,,,,,
cluster,Bcell_0,CS202210140_1,CS202210140_463,0.0,Miscellaneous,BCELL,,,,,"Midbrain: 21.0%, Basal forebrain: 19.0%, Pons: 14.3%","Human GPi: 11.4%, Human SN: 11.4%, Human SN-RN: 4.8%","IGHM, MS4A1, FCRL1, AC244205.1, IGLL5, IGHA1, BLK, IGLC3, IGLC2, IKZF3",105.0,0.013358007,2258.866667,0.608112879,0.020988592,58.0,20.0,27.0,0.0,0.552380952,3.0
